#URSI, topside IRI-corr, F2 storm model on
# Year, nday, UT, Lon, Lat, TEC(TECU), NmF2 (10^12 m-3)
2017 219  0.0  180.0   77.5   6.36  0.216589
2017 219  0.0 -175.0   75.0   6.68  0.222409
2017 219  0.0 -170.0   75.0   6.71  0.223441
2017 219  0.0 -165.0   75.0   6.58  0.224170
2017 219  0.0 -160.0   75.0   6.60  0.224579
2017 219  0.0 -155.0   75.0   6.61  0.224655
2017 219  0.0 -150.0   75.0   6.61  0.224390
2017 219  0.0 -145.0   75.0   6.60  0.223782
2017 219  0.0 -140.0   75.0   6.58  0.222832
2017 219  0.0 -135.0   75.0   6.56  0.221548
2017 219  0.0 -130.0   75.0   6.51  0.219941
2017 219  0.0 -125.0   75.0   6.46  0.218024
2017 219  0.0 -120.0   75.0   6.40  0.215820
2017 219  0.0 -115.0   75.0   6.33  0.213350
2017 219  0.0 -110.0   75.0   6.25  0.210642
2017 219  0.0 -105.0   75.0   6.16  0.207730
2017 219  0.0 -100.0   75.0   6.07  0.204642
2017 219  0.0  -95.0   75.0   5.96  0.201415
2017 219  0.0  -90.0   75.0   5.85  0.198075
2017 219  0.0  -85.0   75.0   5.74  0.194643
2017 219  0.0  -80.0   75.0   5.62  0.191135
2017 219  0.0  -75.0   75.0   5.50  0.187561
2017 219  0.0  -70.0   75.0   5.38  0.183936
2017 219  0.0  -65.0   75.0   5.25  0.180272
2017 219  0.0  -60.0   75.0   5.13  0.176584
2017 219  0.0  -55.0   75.0   5.00  0.172893
2017 219  0.0  -50.0   75.0   4.88  0.169220
2017 219  0.0  -45.0   75.0   4.75  0.165591
2017 219  0.0  -40.0   75.0   4.64  0.162039
2017 219  0.0  -35.0   75.0   4.52  0.158593
2017 219  0.0  -30.0   75.0   4.42  0.155293
2017 219  0.0  -25.0   75.0   4.32  0.152172
2017 219  0.0  -20.0   75.0   4.23  0.149269
2017 219  0.0  -15.0   75.0   4.15  0.146618
2017 219  0.0  -10.0   75.0   4.08  0.144253
2017 219  0.0   -5.0   75.0   4.02  0.142207
2017 219  0.0    0.0   75.0   3.97  0.140507
2017 219  0.0    5.0   75.0   3.93  0.139175
2017 219  0.0   10.0   75.0   3.91  0.138232
2017 219  0.0   15.0   75.0   3.90  0.137694
2017 219  0.0   20.0   75.0   3.90  0.137571
2017 219  0.0   25.0   75.0   3.92  0.137870
2017 219  0.0   30.0   75.0   3.95  0.138592
2017 219  0.0   35.0   75.0   3.98  0.139734
2017 219  0.0   40.0   75.0   4.03  0.141289
2017 219  0.0   45.0   75.0   4.09  0.143241
2017 219  0.0   50.0   75.0   4.16  0.145574
2017 219  0.0   55.0   75.0   4.24  0.148267
2017 219  0.0   60.0   75.0   4.33  0.151270
2017 219  0.0   65.0   75.0   4.42  0.154544
2017 219  0.0   70.0   75.0   4.52  0.158037
2017 219  0.0   75.0   75.0   4.62  0.161691
2017 219  0.0   80.0   75.0   4.72  0.165440
2017 219  0.0   85.0   75.0   4.82  0.169221
2017 219  0.0   90.0   75.0   4.93  0.172967
2017 219  0.0   95.0   75.0   5.03  0.176620
2017 219  0.0  100.0   75.0   5.14  0.180139
2017 219  0.0  105.0   75.0   5.23  0.183503
2017 219  0.0  110.0   75.0   5.33  0.186715
2017 219  0.0  115.0   75.0   5.43  0.189787
2017 219  0.0  120.0   75.0   5.52  0.192747
2017 219  0.0  125.0   75.0   5.61  0.195617
2017 219  0.0  130.0   75.0   5.70  0.198409
2017 219  0.0  135.0   75.0   5.79  0.201136
